Customer_ID,Customer_Name,Gender,City,Customer_Type,Signup_Date
100001,Customer_100001,Female,Ahmedabad,New,2023-01-11
100002,Customer_100002,Other,Hyderabad,returning,2021-08-22
100003,Customer_100003,M,Bangalore,Returning,2023-01-28
100004,Customer_100004,Male,Pune ,new,2022-07-10
100005,Customer_100005,female,mumbai,returning,2025-01-07
100006,Customer_100006,female,Delhi,,2021-04-20
100007,Customer_100007,female,Bangalore,new,2025-11-05
100008,Customer_100008,male, Delhi,,2024-04-19
100009,Customer_100009,male,mumbai,,2022-03-09
100010,Customer_100010,F,Pune,returning,2022-06-28
100011,Customer_100011,, Delhi,VIP,2021-03-07
100012,Customer_100012,female,Delhi,Returning,2022-01-25
100013,Customer_100013,male,Mumbai,VIP,2025-10-07
100014,Customer_100014,male,Ahmedabad,returning,2022-03-10
100015,Customer_100015,M,Pune ,VIP,2024-10-28
100016,Customer_100016,Other,Pune ,VIP,2023-04-18
100017,Customer_100017,female,,,2024-09-15
100018,Customer_100018,F,Pune ,New,2021-03-01
100019,Customer_100019,Male,Bangalore,,2023-05-04
100020,Customer_100020,Female,Pune ,,2025-07-21
100021,Customer_100021,, Delhi,,2023-08-13
100022,Customer_100022,Male,mumbai,New,2021-07-16
100023,Customer_100023,,Hyderabad,,2023-12-23
100024,Customer_100024,,Mumbai,,2021-10-05
100025,Customer_100025,male,mumbai,New,2024-11-10
100026,Customer_100026,Female, Delhi,VIP,2024-07-07
100027,Customer_100027,Male,Mumbai,,2021-09-08
100028,Customer_100028,Other,Delhi,,2025-11-24
100029,Customer_100029,Female,Hyderabad,New,2024-09-03
100030,Customer_100030,male,Kolkata,VIP,2024-09-07
100031,Customer_100031,F,Pune ,new,2025-06-04
100032,Customer_100032,Male,Mumbai,New,2024-12-30
100033,Customer_100033,male,Ahmedabad,New,2021-03-04
100034,Customer_100034,Female,Ahmedabad,new,2021-06-02
100035,Customer_100035,M,Ahmedabad,Returning,2024-06-24
100036,Customer_100036,Female,Hyderabad,Returning,2023-01-25
100037,Customer_100037,male,Mumbai,returning,2023-08-17
100038,Customer_100038,,Pune ,new,2024-03-01
100039,Customer_100039,,Pune,VIP,2025-09-18
100040,Customer_100040,female,mumbai,Returning,2023-10-10
100041,Customer_100041,male, Delhi,returning,2023-02-22
100042,Customer_100042,Female,Pune ,VIP,2023-01-04
100043,Customer_100043,,Hyderabad,returning,2025-07-16
100044,Customer_100044,female, Delhi,,2024-04-08
100045,Customer_100045,Other, Delhi,,2021-03-26
100046,Customer_100046,Other,mumbai,Returning,2024-10-28
100047,Customer_100047,Female,Bangalore,returning,2025-08-24
100048,Customer_100048,Male,mumbai,new,2025-12-25
100049,Customer_100049,female,Pune ,,2024-05-18
100050,Customer_100050,Male,Chennai,,2021-06-21
100051,Customer_100051,,Mumbai,returning,2023-02-11
100052,Customer_100052,F,Chennai,returning,2025-07-08
100053,Customer_100053,male,Mumbai,Returning,2024-05-20
100054,Customer_100054,Female, Delhi,Returning,2022-01-14
100055,Customer_100055,female,Chennai,VIP,2023-06-06
100056,Customer_100056,Female,Hyderabad,,2021-08-29
100057,Customer_100057,Male,,,2022-08-24
100058,Customer_100058,Female,mumbai,Returning,2021-10-04
100059,Customer_100059,F,,VIP,2025-09-12
100060,Customer_100060,M,Chennai,,2022-11-27
100061,Customer_100061,F,Chennai,New,2021-03-05
100062,Customer_100062,Male,Bangalore,VIP,2022-06-03
100063,Customer_100063,,Ahmedabad,New,2024-03-04
100064,Customer_100064,,Pune ,Returning,2024-07-05
100065,Customer_100065,F,Hyderabad,,2025-02-11
100066,Customer_100066,Female,Delhi,New,2023-12-04
100067,Customer_100067,Other,Bangalore,,2023-10-18
100068,Customer_100068,Male,Kolkata,New,2025-01-24
100069,Customer_100069,female,Kolkata,,2024-02-11
100070,Customer_100070,female,Delhi,,2022-07-26
100071,Customer_100071,M,Chennai,returning,2023-08-14
100072,Customer_100072,Other,Pune,VIP,2021-02-09
100073,Customer_100073,Male,mumbai,VIP,2025-08-26
100074,Customer_100074,,Bangalore,Returning,2023-09-15
100075,Customer_100075,F,Bangalore,returning,2022-11-07
100076,Customer_100076,F,Pune ,returning,2024-11-07
100077,Customer_100077,female,Ahmedabad,returning,2023-06-20
100078,Customer_100078,male,Ahmedabad,New,2021-10-07
100079,Customer_100079,F,mumbai,VIP,2024-10-03
100080,Customer_100080,Other,Delhi,VIP,2023-10-07
100081,Customer_100081,,Bangalore,VIP,2025-12-29
100082,Customer_100082,Male,Mumbai,Returning,2022-10-25
100083,Customer_100083,,Mumbai,New,2024-01-08
100084,Customer_100084,M,Mumbai,,2024-01-13
100085,Customer_100085,male,Delhi,Returning,2025-09-07
100086,Customer_100086,female,Hyderabad,new,2022-10-21
100087,Customer_100087,male,,,2022-12-22
100088,Customer_100088,Male,Pune,Returning,2025-12-04
100089,Customer_100089,male,,,2025-04-25
100090,Customer_100090,Female,Chennai,,2021-10-26
100091,Customer_100091,M,,Returning,2025-06-07
100092,Customer_100092,,,,2023-12-22
100093,Customer_100093,Male, Delhi,New,2021-01-05
100094,Customer_100094,Other,Kolkata,New,2021-04-22
100095,Customer_100095,F,Hyderabad,,2024-03-06
100096,Customer_100096,Female,Kolkata,Returning,2021-05-27
100097,Customer_100097,Other,mumbai,VIP,2022-09-20
100098,Customer_100098,male,Hyderabad,new,2024-01-25
100099,Customer_100099,Other,Delhi,new,2024-03-06
100100,Customer_100100,Male,Bangalore,,2022-11-19
100101,Customer_100101,F, Delhi,new,2022-11-29
100102,Customer_100102,F,Pune,new,2023-04-09
100103,Customer_100103,Male,Mumbai,returning,2024-10-02
100104,Customer_100104,male,Pune,Returning,2022-09-14
100105,Customer_100105,male,Bangalore,Returning,2023-06-16
100106,Customer_100106,F, Delhi,returning,2025-05-31
100107,Customer_100107,F,Delhi,New,2021-06-19
100108,Customer_100108,M,Pune ,new,2022-01-03
100109,Customer_100109,Female,Pune,New,2021-08-05
100110,Customer_100110,female,,new,2025-03-23
100111,Customer_100111,,Chennai,New,2025-07-28
100112,Customer_100112,female,Pune,new,2024-03-05
100113,Customer_100113,Other,Hyderabad,VIP,2025-11-11
100114,Customer_100114,,,,2023-01-22
100115,Customer_100115,male,Pune ,VIP,2021-10-29
100116,Customer_100116,Female,Bangalore,,2024-06-18
100117,Customer_100117,,Pune,new,2025-11-06
100118,Customer_100118,Male,mumbai,new,2022-05-31
100119,Customer_100119,F,Delhi,,2021-07-08
100120,Customer_100120,female,Mumbai,,2025-10-01
100121,Customer_100121,Female,Chennai,,2025-05-15
100122,Customer_100122,female,Pune,,2021-10-14
100123,Customer_100123,F,mumbai,returning,2023-10-10
100124,Customer_100124,female,Kolkata,returning,2025-10-25
100125,Customer_100125,Female,Mumbai,new,2025-12-22
100126,Customer_100126,M,Bangalore,Returning,2023-12-13
100127,Customer_100127,female,Pune,,2024-02-14
100128,Customer_100128,Other,Mumbai,New,2022-10-26
100129,Customer_100129,Female,,,2024-11-02
100130,Customer_100130,female,Ahmedabad,returning,2021-09-06
100131,Customer_100131,F,Pune ,VIP,2025-04-06
100132,Customer_100132,F,mumbai,new,2023-12-04
100133,Customer_100133,Male,Ahmedabad,new,2023-08-29
100134,Customer_100134,F,,new,2021-02-18
100135,Customer_100135,Female,Ahmedabad,new,2022-04-30
100136,Customer_100136,Other,Ahmedabad,New,2024-09-07
100137,Customer_100137,,mumbai,VIP,2024-08-15
100138,Customer_100138,male,Delhi,Returning,2021-09-26
100139,Customer_100139,Other,Bangalore,new,2025-03-02
100140,Customer_100140,male,Hyderabad,,2025-05-27
100141,Customer_100141,Other,Kolkata,new,2023-08-10
100142,Customer_100142,male,,,2024-08-03
100143,Customer_100143,M,Chennai,New,2022-04-13
100144,Customer_100144,Male,Ahmedabad,New,2022-08-13
100145,Customer_100145,Other,Chennai,VIP,2021-05-20
100146,Customer_100146,Other,,new,2022-07-05
100147,Customer_100147,male,,VIP,2025-11-26
100148,Customer_100148,Male,Bangalore,Returning,2021-01-28
100149,Customer_100149,male,Pune ,,2021-08-20
100150,Customer_100150,,Ahmedabad,New,2022-02-16
100151,Customer_100151,Male,Hyderabad,new,2024-10-17
100152,Customer_100152,Male,Pune,,2023-01-10
100153,Customer_100153,Female,Chennai,,2021-06-26
100154,Customer_100154,Other,Delhi,new,2021-08-13
100155,Customer_100155,F,Hyderabad,Returning,2023-09-05
100156,Customer_100156,Female,Hyderabad,Returning,2021-04-08
100157,Customer_100157,Female,Pune,returning,2024-01-05
100158,Customer_100158,male,,new,2022-01-31
100159,Customer_100159,,Bangalore,Returning,2024-06-03
100160,Customer_100160,M,Pune ,New,2021-07-04
100161,Customer_100161,Female,mumbai,VIP,2023-08-07
100162,Customer_100162,female,Chennai,new,2025-10-03
100163,Customer_100163,male,Kolkata,New,2021-10-20
100164,Customer_100164,M,Mumbai,returning,2021-08-09
100165,Customer_100165,,mumbai,,2022-10-11
100166,Customer_100166,Other, Delhi,Returning,2023-09-23
100167,Customer_100167,male,Chennai,,2025-01-13
100168,Customer_100168,Other,Bangalore,returning,2025-05-26
100169,Customer_100169,female,Kolkata,new,2024-05-25
100170,Customer_100170,F,Ahmedabad,,2024-11-01
100171,Customer_100171,F,Hyderabad,,2025-04-06
100172,Customer_100172,M,mumbai,,2023-11-29
100173,Customer_100173,Female,Mumbai,new,2021-01-04
100174,Customer_100174,,Chennai,New,2022-04-11
100175,Customer_100175,Male,Mumbai,New,2024-09-01
100176,Customer_100176,,Mumbai,Returning,2022-05-06
100177,Customer_100177,Male,,Returning,2021-06-30
100178,Customer_100178,Male,Chennai,,2021-07-06
100179,Customer_100179,Male,,new,2021-08-29
100180,Customer_100180,M,,,2024-11-23
100181,Customer_100181,F,Hyderabad,returning,2022-12-08
100182,Customer_100182,,Hyderabad,,2021-04-23
100183,Customer_100183,female,,returning,2021-12-18
100184,Customer_100184,F,Mumbai,,2025-02-02
100185,Customer_100185,Male,Pune,new,2022-02-21
100186,Customer_100186,female,mumbai,VIP,2021-12-25
100187,Customer_100187,M,Pune,new,2024-12-29
100188,Customer_100188,Other,mumbai,returning,2023-03-10
100189,Customer_100189,F,Kolkata,VIP,2023-04-01
