Product_ID,Product_Name,Category,Subcategory,Unit_Price
5001,Product_5001,Electronics,Shoes,1828.43
5002,Product_5002,Sports,Clothing,3607.39
5003,Product_5003,Toys,Furniture,1505.78
5004,Product_5004,Books,Fitness,2691.02
5005,Product_5005,Beauty,Shoes,0.0
5006,Product_5006,Books,Clothing,6154.76
5007,Product_5007,Beauty,Skincare,1974.88
5008,Product_5008,Sports,Fitness,1705.96
5009,Product_5009,Home & Kitchen,Clothing,964.05
5010,Product_5010,Home & Kitchen,Games,740.17
5011,Product_5011,Home & Kitchen,Clothing,2942.65
5012,Product_5012,Electronics,Games,8457.04
5013,Product_5013,Toys,Laptop,4185.85
5014,Product_5014,Beauty,Games,609.4
5015,Product_5015,Home & Kitchen,Shoes,9736.36
5016,Product_5016,Fashion,Fiction,432.79
5017,Product_5017,Toys,Shoes,1639.19
5018,Product_5018,Electronics,Clothing,-100.0
5019,Product_5019,Home & Kitchen,Furniture,6074.76
5020,Product_5020,Toys,Furniture,2902.06
5021,Product_5021,Sports,Skincare,530.15
5022,Product_5022,Toys,Fiction,7926.04
5023,Product_5023,Home & Kitchen,Laptop,591.24
5024,Product_5024,Fashion,Laptop,349.07
5025,Product_5025,Home & Kitchen,Skincare,584.91
5026,Product_5026,Fashion,Games,2751.82
5027,Product_5027,Toys,Games,8737.29
5028,Product_5028,Fashion,Games,7725.56
5029,Product_5029,Electronics,Laptop,209.44
5030,Product_5030,Electronics,Skincare,0.0
5031,Product_5031,Home & Kitchen,Clothing,6775.74
5032,Product_5032,Fashion,Laptop,1422.93
5033,Product_5033,Beauty,Fitness,2785.03
5034,Product_5034,Sports,Fitness,-100.0
5035,Product_5035,Sports,Games,2615.71
5036,Product_5036,Home & Kitchen,Games,10273.21
5037,Product_5037,Beauty,Laptop,1355.74
5038,Product_5038,Books,Furniture,747.66
5039,Product_5039,Toys,Laptop,1826.39
5040,Product_5040,Electronics,Furniture,1576.3
5041,Product_5041,Books,Fiction,852.46
5042,Product_5042,Books,Skincare,1392.46
5043,Product_5043,Toys,Fitness,914.47
5044,Product_5044,Electronics,Skincare,511.72
5045,Product_5045,Sports,Clothing,9269.14
5046,Product_5046,Toys,Mobile,8681.24
5047,Product_5047,Home & Kitchen,Laptop,1604.07
5048,Product_5048,Books,Laptop,1953.66
5049,Product_5049,Beauty,Shoes,1091.9
5050,Product_5050,Books,Furniture,1327.22
5051,Product_5051,Books,Laptop,1691.28
5052,Product_5052,Electronics,Shoes,1180.99
5053,Product_5053,Home & Kitchen,Fitness,694.53
5054,Product_5054,Electronics,Fitness,5454.55
5055,Product_5055,Home & Kitchen,Mobile,592.05
5056,Product_5056,Fashion,Shoes,1532.02
5057,Product_5057,Electronics,Mobile,1704.76
5058,Product_5058,Sports,Fitness,9238.75
5059,Product_5059,Fashion,Fiction,1553.03
5060,Product_5060,Sports,Shoes,1300.66
5061,Product_5061,Toys,Clothing,1286.2
5062,Product_5062,Sports,Fitness,2690.06
5063,Product_5063,Beauty,Games,1510.69
5064,Product_5064,Fashion,Mobile,746.88
5065,Product_5065,Toys,Skincare,4980.22
5066,Product_5066,Electronics,Mobile,2027.65
5067,Product_5067,Electronics,Fitness,2479.66
5068,Product_5068,Home & Kitchen,Games,641.26
5069,Product_5069,Beauty,Clothing,-100.0
5070,Product_5070,Books,Skincare,2856.09
5071,Product_5071,Beauty,Shoes,1113.89
5072,Product_5072,Beauty,Clothing,2186.73
5073,Product_5073,Beauty,Laptop,1114.23
5074,Product_5074,Fashion,Fiction,1354.19
5075,Product_5075,Sports,Fitness,4112.55
5076,Product_5076,Home & Kitchen,Games,893.34
5077,Product_5077,Beauty,Clothing,2593.24
5078,Product_5078,Books,Mobile,3525.58
5079,Product_5079,Toys,Mobile,2523.32
5080,Product_5080,Beauty,Skincare,5100.25
5081,Product_5081,Sports,Skincare,1097.6
5082,Product_5082,Beauty,Laptop,4506.56
5083,Product_5083,Books,Skincare,3478.74
5084,Product_5084,Home & Kitchen,Skincare,1928.63
5085,Product_5085,Home & Kitchen,Fitness,1689.73
5086,Product_5086,Home & Kitchen,Fiction,1335.81
5087,Product_5087,Books,Fitness,891.01
