Refund_ID,Return_ID,Refund_Date,Refund_Amount,Refund_Status
950001,900001,2025-08-13,1683.32,Pending
950002,900002,2024-08-05,11001.01,
950003,900003,2025-05-02,2821.34,Failed
950004,900004,2024-08-17,3434.15,pending
950005,900005,2026-01-04,28347.69,pending
950006,900006,2025-09-04,22979.26,Failed
950007,900007,2024-09-03,1376.13,Processed
950008,900008,2025-06-05,5777.37,processed
950009,900009,2024-04-21,1404.07,Failed
950010,900010,2025-03-31,4474.28,pending
950011,900011,2025-05-29,2037.48,Processed
950012,900012,2025-03-13,0.0,processed
950013,900013,2025-11-01,14870.79,Processed
950014,900014,2024-05-27,330.38,Pending
950015,900015,2024-05-27,5511.22,Processed
950016,900016,2024-06-23,3109.48,Failed
950017,900017,2024-09-17,841.44,
950018,900018,2025-03-14,1197.23,Processed
950019,900019,2024-02-14,3781.08,Processed
950020,900020,2024-11-21,0.0,
950021,900021,2025-12-10,4852.28,Processed
950022,900022,2024-06-25,2786.41,pending
950023,900023,2024-11-14,1092.9,Pending
950024,900024,2024-06-25,1043.03,Pending
950025,900025,2026-01-10,1513.73,Failed
950026,900026,2025-12-08,636.25,Processed
950027,900027,2024-07-13,49743.09,Pending
950028,900028,2025-10-07,2278.89,Pending
950029,900029,2024-02-20,3283.7,Pending
950030,900030,2024-05-31,11157.61,Processed
950031,900031,2024-07-06,838.48,Failed
950032,900032,2025-05-17,1106.26,pending
950033,900033,2024-11-02,2170.95,Pending
950034,900034,2024-05-15,4064.38,pending
950035,900035,2024-11-15,1010.41,Processed
950036,900036,2025-04-24,1872.76,
950037,900037,2025-08-08,8310.72,Pending
950038,900038,2025-08-24,0.0,Pending
950039,900039,2025-03-02,1054.6,processed
950040,900040,2025-11-12,9122.72,Pending
950041,900041,2025-08-04,1554.37,Failed
950042,900042,2024-10-25,6720.42,processed
950043,900043,2024-05-01,5799.9,pending
950044,900044,2024-04-12,3014.55,Processed
950045,900045,2024-07-16,5226.62,Processed
950046,900046,2024-07-07,0.0,processed
950047,900047,2025-08-29,7326.98,Failed
950048,900048,2024-09-04,500000.0,Failed
950049,900049,2024-06-08,11185.08,Processed
950050,900050,2024-10-23,10961.48,Processed
950051,900051,2024-01-18,16130.78,Pending
950052,900052,2024-01-26,2284.63,Pending
950053,900053,2024-11-01,1310.92,Processed
950054,900054,2024-08-16,4330.93,
950055,900055,2025-09-26,7484.12,Pending
950056,900056,2025-06-23,2741.06,Pending
950057,900057,2024-02-07,373.57,Pending
950058,900058,2024-11-22,1755.62,processed
950059,900059,2024-07-14,10295.33,Pending
950060,900060,2025-04-06,4080.63,Processed
950061,900061,2025-12-05,20369.93,Processed
950062,900062,2025-01-13,5530.19,Failed
950063,900063,2024-06-16,958.62,pending
950064,900064,2025-05-27,443.08,Processed
950065,900065,2025-04-18,414.86,Pending
950066,900066,2025-12-05,1131.1,Pending
950067,900067,2024-01-06,324.79,processed
950068,900068,2025-04-08,793.04,Failed
950069,900069,2024-08-16,1210.12,
950070,900070,2024-11-20,679.86,Processed
950071,900071,2025-01-12,558019.06,
950072,900072,2025-02-20,2291.66,Failed
950073,900073,2024-09-25,3253.77,pending
950074,900074,2025-07-25,4315.06,Failed
950075,900075,2024-06-30,2296.2,processed
950076,900076,2025-10-11,7434.05,pending
950077,900077,2025-09-12,25536.52,pending
950078,900078,2025-06-30,5183.4,Pending
950079,900079,2025-04-30,2466.68,pending
950080,900080,2024-07-14,773.26,Failed
950081,900081,2025-05-16,3330.93,Processed
950082,900082,2025-03-08,10792.43,processed
950083,900083,2025-01-08,2365.28,Pending
950084,900084,2024-10-26,2776.7,processed
950085,900085,2024-05-22,1801.12,Processed
950086,900086,2025-04-26,1991.75,processed
950087,900087,2024-02-20,1461.06,Processed
950088,900088,2024-12-12,3704.66,processed
950089,900089,2025-06-20,588.31,processed
950090,900090,2025-10-15,2366.79,Pending
950091,900091,2025-07-30,10022.01,Failed
950092,900092,2024-03-22,2673.73,
950093,900093,2024-09-16,1071.43,Processed
950094,900094,2025-11-18,902.55,Processed
950095,900095,2025-04-22,0.0,Pending
950096,900096,2025-07-27,3219.38,Processed
950097,900097,2025-03-11,3247.89,Processed
950098,900098,2024-11-11,4191.18,Failed
950099,900099,2025-03-29,2211.86,pending
950100,900100,2024-07-15,26738.5,Processed
950101,900101,2025-10-06,5450.15,pending
950102,900102,2024-12-13,1976.06,
950103,900103,2024-09-15,2104.67,Failed
950104,900104,2025-02-25,4047.61,processed
950105,900105,2024-11-06,2653.26,Failed
950106,900106,2025-06-05,12195.26,processed
950107,900107,2025-05-29,500000.0,pending
950108,900108,2026-01-02,1632.98,Failed
950109,900109,2025-07-11,4353.26,pending
950110,900110,2024-05-14,4131.84,
950111,900111,2025-08-29,19087.37,Processed
950112,900112,2025-07-19,4187.54,Failed
950113,900113,2024-03-08,1712.49,
950114,900114,2025-10-18,9221.53,Processed
950115,900115,2025-11-27,0.0,
950116,900116,2025-05-27,699.65,processed
950117,900117,2025-11-17,12608.48,
950118,900118,2024-06-04,3424.45,Processed
950119,900119,2026-01-02,1052.83,pending
950120,900120,2025-07-29,5870.38,processed
950121,900121,2025-06-19,12888.07,
950122,900122,2025-05-31,3439.38,Failed
950123,900123,2025-03-06,3283.36,
