Return_ID,Order_ID,Return_Date,Return_Reason,Return_Status,Refund_Method,Refund_Amount
900001,718056,2025-08-13,size issue,,,1683.32
900002,707284,2024-08-05,Late Delivery,Approved,original payment,11001.01
900003,710263,2025-05-02,Size Issue,,Store Credit,2821.34
900004,716996,2024-08-17,Quality Issue,Rejected,Original Payment,3434.15
900005,713712,2026-01-04,Not as Expected,,Original Payment,28347.69
900006,706415,2025-09-04,Changed Mind,Requested,Original Payment,22979.26
900007,704870,2024-09-03,Late Delivery,Completed,Bank Transfer,1376.13
900008,702595,2025-06-05,Size Issue,Rejected,UPI,5777.37
900009,710148,2024-04-21,Not as Expected,Requested,UPI,1404.07
900010,700815,2025-03-31,size issue,Requested,UPI,4474.28
900011,707721,2025-05-29,Changed Mind,Completed,UPI,2037.48
900012,717245,2025-03-13,Late Delivery,,Bank Transfer,0.0
900013,700795,2025-11-01,Quality Issue,Rejected,,14870.79
900014,716644,2024-05-27,damaged,Completed,Original Payment,330.38
900015,713496,2024-05-27,size issue,Rejected,,5511.22
900016,709456,2024-06-23,Wrong Item,Rejected,Original Payment,3109.48
900017,711488,2024-09-17,Duplicate Order,Approved,Original Payment,841.44
900018,715266,2025-03-14,Quality Issue,requested,Store Credit,1197.23
900019,701000,2024-02-14,Damaged,Completed,Bank Transfer,3781.08
900020,711981,2024-11-21,Quality Issue,requested,UPI,0.0
900021,709914,2025-12-10,Late Delivery,Completed,Store Credit,4852.28
900022,712200,2024-06-25,Duplicate Order,,Bank Transfer,2786.41
900023,702062,2024-11-14,Not as Expected,Approved,Original Payment,1092.9
900024,707506,2024-06-25,Not as Expected,requested,Bank Transfer,1043.03
900025,719402,2026-01-10,damaged,Rejected,UPI,1513.73
900026,707611,2025-12-08,,Rejected,UPI,636.25
900027,709911,2024-07-13,Late Delivery,requested,,49743.09
900028,705452,2025-10-07,Late Delivery,requested,Store Credit,2278.89
900029,703070,2024-02-20,Duplicate Order,Approved,original payment,3283.7
900030,703896,2024-05-31,Damaged,Requested,,11157.61
900031,719968,2024-07-06,Wrong Item,Approved,Bank Transfer,838.48
900032,710522,2025-05-17,Size Issue,requested,Bank Transfer,1106.26
900033,719568,2024-11-02,Duplicate Order,approved,original payment,2170.95
900034,709845,2024-05-15,Not as Expected,Approved,Original Payment,4064.38
900035,706792,2024-11-15,Quality Issue,Completed,UPI,1010.41
900036,710502,2025-04-24,Not as Expected,Approved,Bank Transfer,1872.76
900037,710331,2025-08-08,Quality Issue,Approved,Store Credit,8310.72
900038,706852,2025-08-24,,,UPI,20517.59
900039,714036,2025-03-02,Not as Expected,Requested,Bank Transfer,1054.6
